Laufende Nummer;Bildnummer;Sammlungsbereich;Hauptgruppe;Inventar-Nr.;OBJEKTGRUPPE_Objektbezeichnung;OBJEKTGRUPPE_Objektbezeichnung_Pfad im Thesaurus (autom.);Beschreibung des Gegenstandes;Abgebildete Institution;Abgebildeter Ort;HERSTELLUNG_KÜNSTLER/HERSTELLER_Typ (Person|Werkstatt);HERSTELLUNG_KÜNSTLER/HERSTELLER_Name;HERSTELLUNG_KÜNSTLER/HERSTELLER_Rolle;Material;Alte Inv.-Nr.(MfGSL);Rapport-Nr.;Stückzahl;EINLIEFERUNG_Schlagwort;Schlagwort-Gruppe_Schlagwort;HERSTELLUNG_DATIERUNG_Datierung verbal;HERSTELLUNG_DATIERUNG_Datierung Midas (autom.);HERSTELLUNG_DATIERUNG_Datierung Anfang (autom.);HERSTELLUNG_DATIERUNG_Datierung Ende (autom.);Technik;Maße;Abgebildeter Gegenstand;Alte Inv.-Nr.(GDM);Abgebildetes Ereignis;Erwähntes Ereignis;Objekttitel;HERSTELLUNG_Herstellungsort;Bearbeiter;Abgebildete Person;Dargestellte Zeit;Erwähnte Institution;Untergruppe;Weitere Inventar-Nr.;Erwähnte Person;ZUSATZMEDIEN_Medienart;ZUSATZMEDIEN_Ablage;ZUSATZMEDIEN_DATEINAME;Kategorie der Darstellung;URL;﻿Archivsignatur
S0026306;S0026306;Fotothek;Positive;Doubl. 2072;Fotografie;Graphik-Photographie » Photographie » Fotografie;;Thomaskirchhof;;Werkstatt;Vogel,Hermann;Kunsthandlung;Fotopapier;;Rp.17.47;;;;;;;;;9 x 6 cm;Leibniz-Denkmal;;;;;Leipzig,Goethestrasse 2;;Leibniz;;;;;;;;;;https://speicherwolke.uni-leipzig.de/index.php/s/Mun52I4EYKuVldn?path=%2Fimages_thumbnails#/images_thumbnails/S0026306.jpg;S0026306
S0032600;S0032600;Fotothek;Positive;S/560/2003;Fotografie;Graphik-Photographie » Photographie » Fotografie;"Foto auf Pappe;Blick von Nord-Westen auf das Areal des Reichsgerichts (heute Bundesverwaltungsgericht)";;"Harkortstraße 6;Harkortstraße 15";Person;Vogel, Hermann;"Fotograf;Verleger";Fotopapier;;;;;;1888.10.31;1888/1888;1888;1888;;"19,1 x 24,5 cm (Pappe);16,6 x 21,6 cm (Foto)";;;Grundsteinlegung für das Reichsgericht;;;Leipzig;;;;;;;;;;;;https://speicherwolke.uni-leipzig.de/index.php/s/Mun52I4EYKuVldn?path=%2Fimages_thumbnails#/images_thumbnails/S0032600.jpg;S0032600
S0024478;S0024478;Fotothek;Positive;Doubl. 870;Fotografie;Graphik-Photographie » Photographie » Fotografie;Fotopapier auf Pappe, dargestellt ist die Nonnemühle, davor steht ein Pferdefuhrwerk, im Hintergrund die Thomaskirche sichtbar;"Nonnenmühle;Thomaskirche";;Werkstatt;Vogel,Hermann;Verlag;Fotopapier auf Pappe;;Rp.61/1941;;;;1890;1890/1890;1890;1890;;17 x 11 cm;"Pferdefuhrwerk;Wagen;Pferd";;;;Alte Nonnemühle;Leipzig;;;1890;Nonnenmühle;;;;;;;;https://speicherwolke.uni-leipzig.de/index.php/s/Mun52I4EYKuVldn?path=%2Fimages_thumbnails#/images_thumbnails/S0024478.jpg;S0024478
BB045243;BB045243;Fotothek;Negative;F/6420/2005;Negativ;;Fotografie, s/w, Markthallenstraße, Ecke Brüderstraße, Markthalle, um 1900. Im Turm befanden sich die Wassertanks für den hydraulischen Aufzug.;Markthalle;Markthallenstraße 1;Person;Vogel, Hermann;Fotograf;Glas;1261;Rp.89/1927;1;;Markthalle;1900 (um);1895/1905;1895;1905;"Negativ;s/w";24 x 18 cm;;;;;;Leipzig;;;;;;;;;;;;https://speicherwolke.uni-leipzig.de/index.php/s/Mun52I4EYKuVldn?path=%2Fimages_thumbnails#/images_thumbnails/bb045243.jpg;BB045243
BB045251;BB045251;Fotothek;Negative;F/6396/2005;Negativ;;"Königsplatz, Altes Grassimuseum; um 1905.";Grassimuseum, Altes;Königsplatz;Person;Vogel, Hermann;Fotograf;Glas;1249;Rp.89.27;1;;Museum;1905 (um);1900/1910;1900;1910;"Negativ;s/w";18x24;;;;;;;;;;;;;;;;;;https://speicherwolke.uni-leipzig.de/index.php/s/Mun52I4EYKuVldn?path=%2Fimages_thumbnails#/images_thumbnails/bb045251.jpg;BB045251
BB045235;BB045235;Fotothek;Negative;F/6446/2005;Negativ;;"Preußenstraße, Völkerschlachtdenkmal im Bau; um 1905.";Völkerschlachtdenkmal <Leipzig>;"Preußenstraße;Probstheida";Person;Vogel, Hermann;Fotgraf;Glas;1232a;Rp.89.27;1;;"Denkmal;Baustelle";1905 (um);1900/1910;1900;1910;"Negativ;s/w";18x24;;;;;;;;;;;;;;;;;;https://speicherwolke.uni-leipzig.de/index.php/s/Mun52I4EYKuVldn?path=%2Fimages_thumbnails#/images_thumbnails/bb045235.jpg;BB045235
BB046291;BB046291;Fotothek;Negative;F/3689/2005;Negativ;;"Hallesche Straße mit Viadukt und Königs Ziegelei; um 1905.";Ziegelei König;"Wahren;Viadukt;Hallesche Straße";Person;Robert Fölk;Fotograf;Glas;976;Rp.125.23;1;;"Straßenzug;Brücke;Gewerbebetrieb";1905 (um);1900/1910;1900;1910;"Negativ;s/w";13x18;;;;;;;;;;;;;;;;;;https://speicherwolke.uni-leipzig.de/index.php/s/Mun52I4EYKuVldn?path=%2Fimages_thumbnails#/images_thumbnails/bb046291.jpg;BB046291
S0006061;S0006061;Fotothek;Positive;5575;Fotografie;Graphik-Photographie » Photographie » Fotografie;;"Wasserkunst;Nonnenmühle";;"Person;Werkstatt";"Vogel, Hermann;Vogel, Hermann";"Fotograf;Verleger";Fotopapier;;;;;;;;;;;11 x 16, 8 cm;;;;;Die alte Nonnenmühle.;;;;;Nonnenmühle;;;;;;;;https://speicherwolke.uni-leipzig.de/index.php/s/Mun52I4EYKuVldn?path=%2Fimages_thumbnails#/images_thumbnails/S0006061.jpg;S0006061
BB047228;BB047228;Fotothek;Nachlässe;F/5348/2005;Negativ;;"Johannapark; Teich im Winter; Hintergrund Lutherkirche; um 1905.";Lutherkirche;"Johannaparkteich;Bismarckstraße 25";Person;Walter, Hermann;Fotograf;Glas;3103;Rp.8/1935;1;;"Johanna-Park;stehendes Gewässer;Parkanlage;Kirche";1905 (um);1900/1910;1900;1910;"Negativ;s/w";13x18;;;;;;;;Schlittschuhläufer;;;Hermann Walter Sammlung;;;;;;;https://speicherwolke.uni-leipzig.de/index.php/s/Mun52I4EYKuVldn?path=%2Fimages_thumbnails#/images_thumbnails/bb047228.jpg;BB047228
BB045623;BB045623;Fotothek;Negative;F/6485/2005;Fotografie;Graphik-Photographie » Photographie » Fotografie;"Augustusplatz, Augusteum; um 1900.";Augusteum;Augustusplatz 5;Person;Vogel, Hermann;Fotograf;Glas;1717;Rp.89.27;1;;Universität;1900 (um);1895/1905;1895;1905;"Negativ;s/w";18x24;;;;;;;;;;;;;;;;;;https://speicherwolke.uni-leipzig.de/index.php/s/Mun52I4EYKuVldn?path=%2Fimages_thumbnails#/images_thumbnails/bb045623.jpg;BB045623
S0021174;S0021174;Fotothek;Positive;Doubl. 71/1;Fotografie;Graphik-Photographie » Photographie » Fotografie;Altes Rathaus, Vorderansicht mit Markt;Rathaus, Altes;Markt 1;"Person;Werkstatt";"Vogel, Hermann;Vogel, Hermann";"Fotograf;Verlag";Fotopapier;;Rp.206/24;;;;1900;1900/1900;1900;1900;Fotografie;16 x 22 cm;Marktschirm;;;;Leipzig;;;;;;;;;;;;;https://speicherwolke.uni-leipzig.de/index.php/s/Mun52I4EYKuVldn?path=%2Fimages_thumbnails#/images_thumbnails/S0021174.jpg;S0021174
BB045336;BB045336;Fotothek;Negative;F/6482/2005;Negativ;;"Augustusplatz, Altes Hauptpostamt, Geschäftshaus Flinsch; um 1908.";"Hauptpostamt, Altes;Papierverlag; Ferdinand Flinsch";"Augustusplatz 2 u. 3;Augustusplatz";Person;Vogel, Hermann;Fotograf;Glas;1711;Rp.89.27;1;;"Postamt;Geschäftshaus;Platz";1908 (um);1903/1913;1903;1913;"Negativ;s/w";18x24;;;;;;;;;;;;;;;;;;https://speicherwolke.uni-leipzig.de/index.php/s/Mun52I4EYKuVldn?path=%2Fimages_thumbnails#/images_thumbnails/bb045336.jpg;BB045336
BB046563;BB046563;Fotothek;Negative;F/4014/2005;Negativ;;"Brühl; Straßenansicht, rechts Teilansicht Geschäftshaus Lomer, Rauchwaren; links 'Schwabes Hof'; um 1910.";"Rauchwaren; Lomer und Co.;Schwabes Hof";"Brühl;Brühl 42;Brühl 45";Person;Vogel, Hermann;Fotograf;Glas;1475;Rp.89.27;1;;"Straßenzug;Geschäftshaus";1910 (um);1905/1915;1905;1915;"Negativ;s/w";13x18;;/;;;;;;;;;;;;;;;;https://speicherwolke.uni-leipzig.de/index.php/s/Mun52I4EYKuVldn?path=%2Fimages_thumbnails#/images_thumbnails/bb046563.jpg;BB046563
BB046640;BB046640;Fotothek;Negative;F/4172/2005;Negativ;;"Promenadenanlagen, Schwanenteich im Winter; u, 1905.";;Schwanenteich;Person;Vogel, Hermann;Fotograf;Glas;1890;Rp.89.27;1;;"Promenadenanlagen;stehendes Gewässer;Parkanlage";1905 (um);1900/1910;1900;1910;"Negativ;s/w";13x18;;;;;;;;;;;;;;;;;;https://speicherwolke.uni-leipzig.de/index.php/s/Mun52I4EYKuVldn?path=%2Fimages_thumbnails#/images_thumbnails/bb046640.jpg;BB046640
BB046381;BB046381;Fotothek;Negative;F/3758/2005;Negativ;;"Pleißelandschaft mit Pfahlbauten im Leipziger Westen; um 1910.";;Pleiße;Person;Vogel, Hermann;Fotograf;"Papier;Film";1221;Rp.89.29;1;;"Pleiße;Wasserbauten;fließendes Gewässer";1910 (um);1905/1915;1905;1915;"Negativ;s/w";18x13;Pfahlbauten;;;;;;;;;;;;;;;;;https://speicherwolke.uni-leipzig.de/index.php/s/Mun52I4EYKuVldn?path=%2Fimages_thumbnails#/images_thumbnails/bb046381.jpg;BB046381
BB046393;BB046393;Fotothek;Negative;F/3744/2005;Negativ;;"Fotografie s/w, Petersstraße, rechts 'Central-Hotel', während der Messe; um 1905.";Central-Hotel;Petersstraße;Person;Vogel, Hermann;Fotograf;Glas;1209;Rp.89/1927;1;;"Strassenzug;Messe;Hotel";1905 (um);1900/1910;1900;1910;Negativ;18 x 13 cm;;;Messe;;;Leipzig;;;;;;F 1343;;;;;;https://speicherwolke.uni-leipzig.de/index.php/s/Mun52I4EYKuVldn?path=%2Fimages_thumbnails#/images_thumbnails/bb046393.jpg;BB046393
S0005402;S0005402;Kunst/Kunsthandwerk;Grafik;4451;Lichtdruck;Graphik-Photographie » Druckgraphik » Flachdrucke » Lichtdrucke » Lichtdruck;Johanniskirche;Johanniskirche;;Person;Vogel, Hermann;Fotograf;;;Rp.26/1912;;;;1894;1894/1894;1894;1894;;;;;;;;;;;;;Stadtansichten;;;;;;;https://speicherwolke.uni-leipzig.de/index.php/s/Mun52I4EYKuVldn?path=%2Fimages_thumbnails#/images_thumbnails/S0005402.jpg;S0005402
BB046498;BB046498;Fotothek;Negative;F/3895/2005;Negativ;;"Goethestraße, Theaterpassage mit Kunsthandlung Hermann Vogel; um 1905.";Kunsthandlung;"Theaterpassage;Goethestraße 2";Person;Vogel, Hermann;Fotograf;Glas;1361;Rp.89.27;1;;"Passage;Laden";1905 (um);1900/1910;1900;1910;"Negativ;s/w";18x13;;;;;;Leipzig;;;;;;;Vogel, Hermann;;;;;https://speicherwolke.uni-leipzig.de/index.php/s/Mun52I4EYKuVldn?path=%2Fimages_thumbnails#/images_thumbnails/bb046498.jpg;BB046498
BB046377;BB046377;Fotothek;Negative;F/3753/2005;Negativ;;Fotografie s/w, Frankfurter Wiesen, Kleinmesse, um 1907.;;Frankfurter Wiesen;Person;Vogel, Hermann;Fotograf;Glas;1217;Rp.89/1929;1;;Messe <Wirtschaft>;1905;1905/1905;1905;1905;"Negativ;s/w";13 x 18 cm;;;Kleinmesse;;;Leipzig;;;;;;;;"Festplatte Dauerausstellung;Bilddatenbank";Cumulus;"bb046377.tif;bb046377_H";;https://speicherwolke.uni-leipzig.de/index.php/s/Mun52I4EYKuVldn?path=%2Fimages_thumbnails#/images_thumbnails/bb046377.jpg;BB046377
BB046555;BB046555;Fotothek;Negative;F/3982/2005;Negativ;;"Markt, Altes Rathaus und Wochenmarkt, links Siegesdenkmal; um 1890.";"Rathaus, Altes;Siegesdenkmal";Markt;Person;Vogel, Hermann;Fotograf;Glas;1464b;Rp.89.27;1;;"Platz;Rathaus;Denkmal";1890 (um);1885/1895;1885;1895;"Negativ;s/w";13x18;;/;;;;;;;;;;;;;;;;https://speicherwolke.uni-leipzig.de/index.php/s/Mun52I4EYKuVldn?path=%2Fimages_thumbnails#/images_thumbnails/bb046555.jpg;BB046555
BB046567;BB046567;Fotothek;Negative;F/4145/2005;Negativ;;"Augustusplatz, Paulinerkirche, Café Francais, Geschäftshaus Röper, Hintergrund Turm Nikolaikirche; um 1890.";"Nikolaikirche;Konfektionshaus; Röper;Pauliner-Kirche";"Augustusplatz;Nikolaikirchhof";Person;Vogel, Hermann;Fotograf;Glas;1476b;Rp.89.27;1;;"Kirche;Platz;Gaststätte;Geschäftshaus";1890 (um);1885/1895;1885;1895;"Negativ;s/w";13x18;;;;;;;;;;;;;;;;;;https://speicherwolke.uni-leipzig.de/index.php/s/Mun52I4EYKuVldn?path=%2Fimages_thumbnails#/images_thumbnails/bb046567.jpg;BB046567
BB046639;BB046639;Fotothek;Negative;F/4160/2005;Negativ;;Mühlgraben, Pfahlbaurestaurant 'Wassergott', um 1905.;Restaurant 'Wassergott';;Person;Vogel, Hermann;Fotograf;Glas;1879;Rp.89.27;1;;"Mühlgraben;Gaststätte;fließendes Gewässer";1905 (um);1900/1910;1900;1910;"Negativ;s/w";13x18;;;;;;;;;;;;;;;;;;https://speicherwolke.uni-leipzig.de/index.php/s/Mun52I4EYKuVldn?path=%2Fimages_thumbnails#/images_thumbnails/bb046639.jpg;BB046639
S0009523;S0009523;Fotothek;Positive;4317;Fotografie;Graphik-Photographie » Photographie » Fotografie;"Johanniskirche;Blick nach dem Altar";Johanniskirche;;Person;Vogel, Hermann;Fotograf;Fotopapier;;Rp.43/23;;;;;;;;;16,5 x 23 cm;Altar;;;;;;;;;;;;;;;;;https://speicherwolke.uni-leipzig.de/index.php/s/Mun52I4EYKuVldn?path=%2Fimages_thumbnails#/images_thumbnails/S0009523.jpg;S0009523
BB045313;BB045313;Fotothek;Negative;F/6638/2005;Negativ;;"Universitätsstraße Nr.10, Geschäftshaus; um 1895.";Geschäftshaus;Universitätsstraße 10;Person;Vogel, Hermann;Fotograf;Glas;1842;Rp.89.27;1;;Geschäftshaus;1895 (um);1890/1900;1890;1900;"Negativ;s/w";18x24;;;;;;;;;;;;;;;;;;https://speicherwolke.uni-leipzig.de/index.php/s/Mun52I4EYKuVldn?path=%2Fimages_thumbnails#/images_thumbnails/bb045313.jpg;BB045313
BB045652;BB045652;Fotothek;Negative;F/6631/2005;Fotografie;Graphik-Photographie » Photographie » Fotografie;"Augustusplatz; Pauliner-Kirche; um 1900.";Pauliner-Kirche;Augustusplatz;Person;Vogel, Hermann;Fotograf;Glas;1835;Rp.89.27;1;;Kirche;1900 (um);1895/1905;1895;1905;"Negativ;s/w";24x18;;;;;;;;;;;;;;;;;;https://speicherwolke.uni-leipzig.de/index.php/s/Mun52I4EYKuVldn?path=%2Fimages_thumbnails#/images_thumbnails/bb045652.jpg;BB045652
BB045333;BB045333;Fotothek;Negative;F/6478/2005;Negativ;;"Augustusplatz Nr.1, Geschäftshaus Gebr. Becker; um 1900.";Geschäftshaus Gebr. Becker;Augustusplatz 1;Person;Vogel, Hermann;Fotograf;Glas;1707;Rp.89.27;1;;"Geschäftshaus;Mehrfamilienhaus";1900 (um);1895/1905;1895;1905;"Negativ;s/w";18x24;;;;;;;;;;;;;;;;;;https://speicherwolke.uni-leipzig.de/index.php/s/Mun52I4EYKuVldn?path=%2Fimages_thumbnails#/images_thumbnails/bb045333.jpg;BB045333
BB045636;BB045636;Fotothek;Negative;F/6520/2005;Mägde-Brunnen mit Häuserhintergrund.;;"Roßplatz, Mägde-Brunnen, links Hotel Wartburg; um 1910.";Hotel 'Wartburg';"Mägde-Brunnen;Roßplatz 10";Person;Vogel, Hermann;Fotograf;Glas;1772;Rp.89.27;1;;Hotel;1910 (um);1905/1915;1905;1915;"Negativ;s/w";24x18;;;;;;;;;;;;;;;;;;https://speicherwolke.uni-leipzig.de/index.php/s/Mun52I4EYKuVldn?path=%2Fimages_thumbnails#/images_thumbnails/bb045636.jpg;BB045636
BB046582;BB046582;Fotothek;Negative;F/4026/2005;Negativ;;"Charlottenhof mit Gondelteich und Restaurant; um 1900.";;"Friesenstraße;Charlottenhof;Gondelteich";Person;Vogel, Hermann;Fotograf;Glas;1487;Rp.89.27;1;;"Gaststätte;stehendes Gewässer";1900 (um);1895/1905;1895;1905;"Negativ;s/w";13x18;;/;;;;;;;;;;;;;;;;https://speicherwolke.uni-leipzig.de/index.php/s/Mun52I4EYKuVldn?path=%2Fimages_thumbnails#/images_thumbnails/bb046582.jpg;BB046582
BB046340;BB046340;Fotothek;Negative;F/3741/2005;Negativ;;"Hauptstraße, Schillerhaus; um 1895.";Schillerhaus;Hauptstraße 18;Person;Vogel, Hermann;Fotograf;Glas;1206;Rp.89.27;1;;"Schillerhaus;Baudenkmal";1885 (um);1880/1890;1880;1890;"Negativ;s/w";13x18;;;;;;;;;;;;;;;;;;https://speicherwolke.uni-leipzig.de/index.php/s/Mun52I4EYKuVldn?path=%2Fimages_thumbnails#/images_thumbnails/bb046340.jpg;BB046340
BB046384;BB046384;Fotothek;Negative;F/3773/2005;Negativ;;"Grassistraße, Mendelssohn-Denkmal, Hintergrund Universitätsbibliothek; um 1910.";Universitätsbibliothek;"Grassistraße;Beethovenstraße 6";Person;Vogel, Hermann;Fotograf;Glas;1226;Rp.89.27;1;;"Musik;Denkmal;Universität";1910 (um);1905/1915;1905;1915;"Negativ;s/w";18x13;Mendelssohn-Denkmal;;;;;;;Mendelssohn Bartholdy, Felix;;;;;;;;;;https://speicherwolke.uni-leipzig.de/index.php/s/Mun52I4EYKuVldn?path=%2Fimages_thumbnails#/images_thumbnails/bb046384.jpg;BB046384
BB046562;BB046562;Fotothek;Negative;F/4011/2005;Negativ;;"Königsplatz, Warenhaus Ury Gebrüder, Café Royal; 1897.";"Café Royal;Warenhaus; Ury Gebrüder";Königsplatz 15;Person;Vogel, Hermann;Fotograf;Glas;1472;Rp.89.27;1;;"Kaufhaus;Gaststätte";1897;1897/1897;1897;1897;"Negativ;s/w";18x13;;/;;;;;;;;;;;;;;;;https://speicherwolke.uni-leipzig.de/index.php/s/Mun52I4EYKuVldn?path=%2Fimages_thumbnails#/images_thumbnails/bb046562.jpg;BB046562
BB046683;BB046683;Fotothek;Negative;F/4248/2005;Negativ;;"Paulinum, Abbruch der Bibliothek; um 1890.";"Bibliothek;Paulinum";;Person;Vogel, Hermann;Fotograf;Glas;2119;Rp.89.27;1;;"Universität;Kirche;Bildungseinrichtung;Abriß";1890 (um);1885/1895;1885;1895;"Negativ;s/w";13x18;;;;;;;;;;;;;;;;;;https://speicherwolke.uni-leipzig.de/index.php/s/Mun52I4EYKuVldn?path=%2Fimages_thumbnails#/images_thumbnails/bb046683.jpg;BB046683
BB046546;BB046546;Fotothek;Negative;F/3974/2005;Negativ;;"Obstmarkt; Pleißenburg, von der Harkortstraße aus; Hintergrund Thomaskirche; vor 1895.";Pleißenburg;"Obstmarkt;Harkortstraße";Person;Vogel, Hermann;Fotograf;;1458;Rp.89.27;1;;"Befestigungsanlage;Schloß;Straßenzug";1895 (vor);1885/1895;1885;1895;;13x18;;/;;;;;;;;;;;;;;;;https://speicherwolke.uni-leipzig.de/index.php/s/Mun52I4EYKuVldn?path=%2Fimages_thumbnails#/images_thumbnails/bb046546.jpg;BB046546
BB046526;BB046526;Fotothek;Negative;F/3860/2005;Negativ;;"König Johann-Straße Nr. 12, Haus Braune; um 1900.";Haus Braune;König-Johann-Straße 12;Person;Vogel, Hermann;Fotograf;Glas;1331;Rp.89.27;1;;Villa;1900 (um);1895/1905;1895;1905;"Negativ;s/w";13x18;;/;;;;;;;;;;;;;;;;https://speicherwolke.uni-leipzig.de/index.php/s/Mun52I4EYKuVldn?path=%2Fimages_thumbnails#/images_thumbnails/bb046526.jpg;BB046526
BB046388;BB046388;Fotothek;Negative;F/3748/2005;Negativ;;"Brühl, Ecke Plauensche Straße; Café Gesswein, um 1910.";Café Gesswein;Brühl;Person;Vogel, Hermann;Fotograf;Glas;1213;Rp.89.27;1;;Gaststätte;1910 (um);1905/1915;1905;1915;"Negativ;s/w";13x18;;;;;;;;;;;;;;;;;;https://speicherwolke.uni-leipzig.de/index.php/s/Mun52I4EYKuVldn?path=%2Fimages_thumbnails#/images_thumbnails/bb046388.jpg;BB046388
BB046554;BB046554;Fotothek;Negative;F/3983/2005;Negativ;;"Markt, Altes Rathaus und Wochenmarkt, Hintergrund Alte Waage; um 1890.";"Rathaus, Altes;Waage, Alte";Markt;Person;Vogel, Hermann;Fotograf;Glas;1464c;Rp.89.27;1;;"Platz;Rathaus;Geschäftshaus";1890 (um);1885/1895;1885;1895;"Negativ;s/w";18x13;;/;;;;;;;;;;;;;;;;https://speicherwolke.uni-leipzig.de/index.php/s/Mun52I4EYKuVldn?path=%2Fimages_thumbnails#/images_thumbnails/bb046554.jpg;BB046554
BB046679;BB046679;Fotothek;Negative;F/4395/2005;Negativ;;"Johannisgasse Nr. 21-31, u.a. mit Musikalienhandlung J.D. Wünsch und Wäscherolle Voigtländer; um 1890.";"Wäscherolle Voigtländer;Musikalienhandlung; Wünsch, J.D.";Johannisgasse 21-31;Person;Vogel, Hermann;Fotograf;Glas;2120;Rp.89.27;1;;"Bauensemble;Laden;Gewerbebetrieb";1890 (um);1885/1895;1885;1895;"Negativ;s/w";13x18;;;;;;;;;;;;;;;;;;https://speicherwolke.uni-leipzig.de/index.php/s/Mun52I4EYKuVldn?path=%2Fimages_thumbnails#/images_thumbnails/bb046679.jpg;BB046679
S0001732;S0001732;Fotothek;Positive;613/31;Fotografie;Graphik-Photographie » Photographie » Fotografie;Die Baustelle des Neuen Rathauses zwischen Rathausring und Burgplatz. Blick vom Rathausring nach Norden auf den Burgplatz.;"Pleissenburg, Turm;Rathaus, Neues (im Bau);Thomaskirche;Loge Minerva zu den drei Palmen";Rathausring;Werkstatt;Vogel, Hermann;Fotograf;Papier;;Rp.43/1923;;;;1899;1899/1899;1899;1899;;17,5 x 23 cm;Turm;;Bau Neues Rathaus;;;;;;;;;;;;;;Stadtansicht;https://speicherwolke.uni-leipzig.de/index.php/s/Mun52I4EYKuVldn?path=%2Fimages_thumbnails#/images_thumbnails/S0001732.jpg;S0001732
